Periodo;Clave;R0500C0010;R0500C0020;R0500C0030;R0500C0040;R0500C0050;R0510C0010;R0510C0020;R0510C0030;R0510C0040;R0540C0010;R0540C0020;R0540C0030;R0540C0040;R0540C0050;R0550C0010;R0550C0020;R0550C0030;R0550C0040;R0580C0010;R0600C0010;R0620C0010;R0640C0010
31/12/2024;C0157  ;373841451,53;373841451,53;0;0;0;373841451,53;373841451,53;0;0;373841451,53;373841451,53;0;0;0;373841451,53;373841451,53;0;0;188712329,66;66441715,24;1,981012;5,626607
31/12/2024;C0161  ;376485470,61;376485470,61;0;0;0;376485470,61;376485470,61;0;0;376485470,61;376485470,61;0;0;0;376485470,61;376485470,61;0;0;200407091,43;56356581,8;1,878604;6,680417
31/12/2024;C0174  ;3487951888,47;3487951888,47;0;0;0;3487951888,47;3487951888,47;0;0;3487951888,47;3487951888,47;0;0;0;3487951888,47;3487951888,47;0;0;1036369410;259092352,5;3,365549;13,462195
31/12/2024;C0188  ;39411477,74;39411477,74;0;0;0;39411477,74;39411477,74;0;0;39411477,74;39411477,74;0;0;0;39411477,74;39411477,74;0;0;19785431,09;5744630,6;1,991944;6,860577
31/12/2024;C0208  ;23328605,78;23328605,78;0;0;0;23328605,78;23328605,78;0;0;23328605,78;23328605,78;0;0;0;23328605,78;23328605,78;0;0;1722674,77;2700000;13,542084;8,640224
31/12/2024;C0215  ;27963248,6;27963248,6;0;0;0;27963248,6;27963248,6;0;0;27963248,6;27963248,6;0;0;0;27963248,6;27963248,6;0;0;8447788,11;2700000;3,310127;10,356759
31/12/2024;C0222  ;20939223,82;20939223,82;0;0;0;20939223,82;20939223,82;0;0;20939223,82;20939223,82;0;0;0;20939223,82;20939223,82;0;0;9375962,12;2700000;2,233288;7,755268
31/12/2024;C0223  ;111123010,58;111123010,58;0;0;0;111123010,58;111123010,58;0;0;111123010,58;111123010,58;0;0;0;111123010,58;111123010,58;0;0;42648275,72;10662068,93;2,605569;10,422275
31/12/2024;C0225  ;24304367,36;24304367,36;0;0;0;24304367,36;24304367,36;0;0;24304367,36;24304367,36;0;0;0;24304367,36;24304367,36;0;0;6409154,73;2700000;3,792133;9,001618
31/12/2024;C0247  ;232261493,37;232261493,37;0;0;0;232261493,37;232261493,37;0;0;232261493,37;232261493,37;0;0;0;232261493,37;232261493,37;0;0;59364127,55;16276208,74;3,912489;14,27
