TRIMESTRE;CLAVE;NOMBRE;CALLE;NUMERO;POBLACION;CODPOS;PROVINCIA;AMBITO;URL
31/12/2017;C0031;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;AVENIDA DE BURGOS;109;MADRID;28050;28;N;
31/12/2018;C0031;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;AVENIDA DE BURGOS;109;MADRID;28050;28;N;
31/12/2019;C0031;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;AVENIDA DE BURGOS;109;MADRID;28050;28;N;
31/12/2020;C0031;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;AVENIDA DE BURGOS;109;MADRID;28050;28;N;HTTPS://WWW.CASER.ES/CONOCENOS/NUESTRAS-CIFRAS
31/12/2021;C0031;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;AVENIDA DE BURGOS;109;MADRID;28050;28;N;HTTPS://WWW.CASER.ES/
31/12/2016;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;
31/12/2017;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;
31/12/2018;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;
31/12/2019;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;
31/12/2020;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;WWW.IPRESA.ES
31/12/2021;C0032;IGUALATORIO DE PREVISION SANITARIA, S.A. DE SEGUROS;PLAZA ZARAGOZA;3;SAN SEBASTIAN;20007;20;N;HTTP://WWW.IPRESA.ES/
31/12/2016;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;
31/12/2017;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;
31/12/2018;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;
31/12/2019;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;
31/12/2020;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;WWW.SANTANDERSEGUROS.ES
31/12/2021;C0037;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA,S.A.;AVENIDA DE CANTABRIA S/N;S/N;BOADILLA DEL MONTE;28660;28;N;WWW.SANTANDERSEGUROS.ES
31/12/2016;C0039;ZURICH VIDA COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;CALLE AGUSTIN FOXA;27;MADRID;28036;28;N;
31/12/2017;C0039;ZURICH VIDA COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;CALLE AGUSTIN FOXA;27;MADRID;28036;28;N;
31/12/2018;C0039;ZURICH VIDA COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;CALLE AGUSTIN FOXA;27;MADRID;28036;28;N;
31/12/2019;C0039;ZURICH VIDA SEGUROS Y REASEGUROS S.A.;CALLE AGUSTIN FOXA;27;MADRID;28036;28;N;
31/12/2020;C0039;ZURICH VIDA SEGUROS Y REASEGUROS S.A.;CALLE AGUSTIN FOXA;27;MADRID;28036;28;N;WWW.ZURICH.ES
31/12/2021;C0039;ZURICH VIDA SEGUROS Y REASEGUROS S.A.;AGUSTIN FOXA;27;MADRID;28036;28;N;WWW.ZURICH.ES
31/12/2016;C0046;ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;
31/12/2017;C0046;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;
31/12/2018;C0046;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;
31/12/2019;C0046;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;
31/12/2020;C0046;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;WWW.CREDITOYCAUCION.ES
31/12/2021;C0046;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;PASEO DE LA CASTELLANA;4;MADRID;28046;28;N;https://www.creditoycaucion.es
31/12/2016;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.;CARRETERA POZUELO;50;MAJADAHONDA;28222;28;N;
31/12/2017;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.;CARRETERA POZUELO;50;MAJADAHONDA;28222;28;N;
31/12/2018;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.;CARRETERA POZUELO;50;MAJADAHONDA;28222;28;N;
31/12/2019;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.;CARRETERA POZUELO;50;MAJADAHONDA;28222;28;N;
31/12/2020;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.;CARRETERA POZUELO;50;MAJADAHONDA;28222;28;N;HTTPS://WW.MAPFRE.COM/MEDIA/ACCIONISTAS/2021/2020-SFCR-MAPFRE-ESPANA
31/12/2021;C0058;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;CARRETERA POZUELO;52;MAJADAHONDA;28222;28;N;HTTPS://WWW.MAPFRE.COM/SOLVENCIA/
31/12/2016;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;
31/12/2017;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;
31/12/2018;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;
31/12/2019;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;
31/12/2020;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;WWW.ESPANASA.COM
31/12/2021;C0069;ESPAÑA, S.A. COMPAÑIA NACIONAL DE SEGUROS;PRINCIPE DE VERGARA;38;MADRID;28001;28;N;HTTPS://WWW.ESPANASA.COM/
31/12/2016;C0072;GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;ORENSE;2;MADRID;28020;28;N;
31/12/2017;C0072;GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;CALLE ORENSE;2;MADRID;28020;28;N;
31/12/2018;C0072;GENERALI ESPAÑA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;CALLE ORENSE ;2;MADRID;28020;28;N;
