TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT55;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT56;PT57;PT58;MONEDA;delegacion;TipoDec
31/12/2023;P0285;1;808400,35;0;0;0;0;0;0;808400,35;137391,02;;;;0;0;0;247689,51;802774,13;;0;1656033,74;0;0;-298488,96;0;0;135173,95;1492718,73;-854156,13;0;0;0;0;-854156,13;0;0;0;198250,07;;309969,87;0;508219,94;0;0;134159,65;134159,65;84870,05;0;0;0;0;0;237325,84;322195,89;;8036,4;417693,6;0;0;E;724;99
31/12/2023;P0295;1;4188022,58;0;-11635,52;0;0;0;0;4176387,06;51952,5;;;;0;0;0;0;2361925,93;;0;2430142,98;0;0;301052,67;0;0;172709,47;2903905,12;11822773,19;0;0;0;0;11822773,19;0;0;0;191348,83;;274868,6;0;466217,43;0;0;369605,34;369605,34;224657,32;57768,51;0;-128486,9;0;0;635886,84;789825,77;;-9814013,86;2309973,43;0;0;E;724;16
31/12/2023;P0810;1;239494,53;0;0;0;0;0;0;239494,53;0;;;;0;0;0;0;2303,83;;0;76251,79;0;0;4274,08;0;0;16376,67;96902,54;-5386,92;0;0;0;0;-5386,92;0;0;0;16376,67;;22798,23;0;39174,9;0;0;0;0;0;0;0;0;0;0;0;0;;111107,84;2303,83;0;0;E;724;99
31/12/2023;P1430;1;338577;0;0;0;0;0;0;338577;0;;;;0;0;0;32883,69;53264,47;;0;385943,08;0;0;37043,65;0;0;33286,53;456273,26;-242641,09;0;0;0;0;-242641,09;0;0;0;19054,67;;73240;0;92294,67;0;0;130613,98;130613,98;936,94;41669,19;7684,13;0;0;0;3917,8;54208,06;;-98907,41;20380,78;0;0;E;724;99
31/12/2023;P1703;1;11323555,38;0;879,9;512888,02;-689,62;0;0;10810857,64;157476,09;;;;62311,35;12694,16;0;0;2837388,85;;4003,93;8074393,75;0;77503,09;212170,21;0;0;91169,8;8300230,67;2105469,65;0;0;0;0;2105469,65;14885,21;871005,73;885890,94;682616,05;;680976,47;376611,52;986981;0;0;113592,08;113592,08;380238,64;375771,68;97326,74;8055,52;0;0;6922,33;868314,91;;391771,17;2604907,25;0;0;E;724;16
31/12/2023;P1875;1;72116,75;0;0;0;0;0;0;72116,75;0;;;;0;0;0;16886122,61;88016447,93;;47295,7;83104783,64;0;0;-104238,46;0;0;272842,56;83273387,74;-6441228,12;0;0;0;0;-6441228,12;0;0;0;0;;625168,93;0;625168,93;0;0;860,84;860,84;814717,31;0;6471,24;0;0;0;0;821188,55;;9856482,44;71130325,32;0;0;E;724;16
31/12/2023;P2131;1;640290046,21;0;-10263,28;24991275,33;437,71;0;0;615288945,31;29477140,04;;;;171035,19;0;0;31188153,38;436375324,35;;0;456462415,61;0;17605223,87;11062285,32;0;0;3421477,59;453340954,65;460242316,63;0;2631942,5;0;0;457610374,13;0;617936,88;617936,88;14398340,35;;3461476,38;2821248,94;15038567,79;0;0;3626619,28;3626619,28;14765261,62;9694015,57;8995909,73;0;7952904,19;0;6546526,43;47954617,54;;73475199,39;375538995,74;0;0;E;724;16
31/12/2023;P2136;1;934373,91;0;0;0;0;0;0;934373,91;188537,37;;;;0;0;0;1742341,53;2480600,58;;0;2541837,65;0;0;0;0;0;63328,06;2605165,71;271122,68;0;0;0;0;271122,68;0;0;0;0;;222201,82;0;222201,82;0;0;48783,89;48783,89;120818,12;0;44274,21;0;0;0;89166,16;254258,49;;13441,9;549721,68;0;0;E;724;99
31/12/2023;P2651;1;6337038,16;0;0;0;0;0;0;6337038,16;13479,75;;;;9123,43;0;0;7045998,35;9779201,16;;0;2212717,57;0;0;-21573,17;0;0;50212,53;2241356,93;-323424,3;0;0;0;0;-323424,3;0;9706859,46;9706859,46;0;;99466,23;0;99466,23;0;0;115773,54;115773,54;79190,46;173924,07;27959,07;0;0;3233,58;4080004,17;4364311,35;;-88103,89;2710599,63;0;0;E;724;99
31/12/2023;P2925;1;53078,72;0;0;0;-5169,76;0;0;47908,96;381774,24;;;;540738,11;0;0;0;941927,24;;0;51570,39;0;0;-138802,05;0;0;12165,46;-75066,2;-37594,58;0;0;0;0;-37594,58;16785,51;0;16785,51;9124,1;;70973,97;0;80098,07;0;0;10926,19;10926,19;120955,27;0;190541,79;671323,71;0;0;0;982820,77;;11866,44;19414,89;0;0;E;724;99
31/12/2023;P2994;1;43546061,72;0;0;0;0;0;0;43546061,72;4257441,62;;;;0;375987,1;448938,16;70712524,65;105439326,93;;426,98;49927631,93;0;0;1931467,73;0;0;1662370,07;53521469,73;-25942746,24;0;0;0;0;-25942746,24;0;82120058,39;82120058,39;1081243,14;;1341208,55;0;2422451,69;0;0;0;0;9387865,37;2358722,8;715012,69;0;2650350,19;18690,51;21534909,32;36665550,88;;199031,18;29644435,4;0;0;E;724;16
31/12/2023;P2997;1;23308188,16;0;0;0;0;0;0;23308188,16;424143,37;;;;0;0;0;3506788,21;22151085,63;;110310,26;17281421,9;0;0;122509,73;0;0;465687,68;17869619,31;21521664,64;0;0;0;0;21521664,64;0;0;0;330751,35;;145197,55;0;475948,9;0;0;862742,03;862742,03;2105702,44;518821,4;100707,16;0;534375;0;1277781,55;4537387,55;;302221,62;18220154,05;0;0;E;724;16
31/12/2023;P3028;1;557945844,17;0;-4131,5;1286149,53;396469,58;0;0;557052032,72;21920899,03;;;;213218,39;0;2405854,04;23674341,16;194165594,23;;0;457897098,55;0;236285,45;-2728585,78;0;0;1191676,63;456123903,95;121809171,81;0;0;735063,21;0;122544235,02;0;77238916,21;77238916,21;6413440,43;;2690464,17;810498,64;8293405,96;0;0;1104082,27;1104082,27;45061208,57;7654533,43;3668769,9;0;9389280,67;9420,57;13830816,9;79614030,04;;6327776,72;145951281,61;116008,05;87284,83;E;724;16
31/12/2023;P3074;1;4324772;0;0;219062,15;538,6;0;0;4106248,45;0;;;;24351,58;0;0;33798,03;2712891,35;;65,02;2880533,22;0;0;62957,24;0;0;148060,69;3091551,15;1972999,31;0;0;0;0;1972999,31;0;646652,74;646652,74;0;;148060,69;151361,1;-3300,41;0;0;81690,5;81690,5;487388,99;18564,6;0;0;0;0;147471;653424,59;;376186,94;2654741,74;0;0;E;724;99
31/12/2023;P3132;1;2585318,48;0;-25006,79;746443,68;-79770,96;0;-7773,74;1741870,79;121536,11;;;;0;0;0;0;227662,4;;0;1302099,55;0;274550,58;40714,78;0;57544,94;60815,66;1071534,47;-524300,1;0;0;17636,04;0;-506664,06;142067,35;-28170,83;113896,52;863597,86;;50210,62;249158,01;664650,47;0;0;2547,06;2547,06;1490,4;63220,55;67058,21;0;0;0;0;131769,16;;517849,57;106126,29;26050;0;E;724;16
31/12/2023;P3138;1;1113138,84;0;-5518,18;0;0;0;0;1107620,66;462497,17;;;;0;0;0;0;1033398,6;;0;2248143,96;0;0;418718,46;0;0;0;2666862,42;-756115,62;0;0;0;0;-756115,62;0;0;0;0;;123,14;0;123,14;0;0;98317,16;98317,16;14593,1;39992,67;109005,35;0;0;0;0;163591,12;;-31758,96;570901,43;0;0;E;724;99
31/12/2023;P3141;1;109826,41;0;0;0;0;0;0;109826,41;124340,96;;;;0;0;2919018,92;128856,49;3242074,07;;0;477753,17;0;0;78903,79;0;0;27688,62;584345,58;2187663,15;0;0;0;0;2187663,15;0;0;0;0;;55706,11;0;55706,11;55426,69;0;41139,51;96566,2;0;54870,29;12694,18;0;0;0;44751,54;112316,01;;315303,43;69857,7;0;0;E;724;99
31/12/2023;P3142;1;157608,59;0;0;0;0;0;0;157608,59;0;;;;0;0;0;0;38063,18;;0;23176,36;0;0;0;0;0;5078,32;28254,68;-19788,57;0;0;0;0;-19788,57;0;0;0;17992,28;;11877,96;0;29870,24;0;0;0;0;9892,32;0;165,1;0;0;0;0;10057,42;;147278;38063,18;0;0;E;724;99
31/12/2023;P3143;1;7957479,19;0;-4508,59;907590,02;-11120,25;0;-1819,58;7036079,91;1491665,9;;;;13804,67;0;0;1571996,07;6634885,98;;45476,51;9861773,97;0;164727,92;-663217,93;0;-41937,77;195752,71;9271518,6;210320,18;0;0;31837,35;0;242157,53;45902,82;144620,77;190523,59;453074,68;;226292,39;667291,25;12075,82;9296,39;0;482897,09;492193,48;840284,29;451448,12;253888,13;0;0;0;1804994,81;3350615,35;;239758,81;3557419,34;231808,62;149407,84;E;724;16
31/12/2023;P3151;1;7015515,2;0;0;22500;0;0;0;6993015,2;2541682,82;;;;0;370122,87;0;7290996,12;14095321,48;;0;16548031,4;0;0;209791,04;0;0;44302,31;16802124,75;-6327687,69;0;0;0;0;-6327687,69;0;0;0;290704,26;;1004755,38;0;1295459,64;0;0;172207,66;172207,66;770218,44;467801,58;536504,63;4823,74;0;0;6782310,92;8561659,31;;584573,01;3892519,67;0;0;E;724;16
31/12/2023;P3156;1;14835697,28;0;0;54150;0;0;0;14781547,28;0;;;;0;0;0;64815,81;4068772,78;;0;8761347,56;0;0;4739,37;0;0;25126,02;8791212,95;8610798,02;0;163784,26;0;0;8447013,76;0;0;0;73706,42;;42245,41;0;115951,83;0;0;361093,9;361093,9;837484,78;0;0;0;0;0;32015,57;869500,35;;265547,27;4003956,97;0;0;E;724;16
31/12/2023;P3157;1;132810214,88;0;-17423,86;1203951,76;-26918,77;0;-11958,23;131573878,72;1167554,57;;;;1109221,21;0;0;22259455,8;75795101,61;;575853,99;35363463,89;0;301777,54;6052241,34;0;33238,47;1448433,49;42529122,71;28810078,6;0;17197,43;0;4881,5;28797762,67;0;2165331,17;2165331,17;4190188,08;;1862905,05;0;6053093,13;0;0;2821153,34;2821153,34;12290695,2;583095,07;1448281,61;116673,9;2556105,92;0;104701022,65;121695874,35;;3882496,95;51258870,03;0;0;E;724;16
31/12/2023;P3159;1;26931902,03;0;-5371,31;1370853,05;0;0;0;25555677,67;0;;;;0;0;0;183480,36;2482155,06;;154603,89;8294662,43;0;424884,66;-538458,93;0;-916949,06;688497,7;8936765,6;-4039959,66;0;0;22077035,91;0;18037076,25;0;0;0;1355460,4;;416842,51;535816,93;1236485,98;0;0;1142884,99;1142884,99;530555,37;0;0;0;280707,95;0;289379,39;1100642,71;;1591575,26;2298674,7;5505991,05;1652996,88;E;724;16
31/12/2023;P3161;1;22791786,18;0;-302,93;933525,9;-43694,69;0;-17214,35;21831477,01;279399,64;;;;0;0;0;173788,17;7522238,16;;0;3613993,85;0;0;432126,43;0;120477,33;468040,31;4393683,26;21110639,43;0;0;0;0;21110639,43;0;883860,67;883860,67;688412,92;;268829,41;694037,47;263204,86;0;0;394521,41;394521,41;78876,72;0;1031,42;0;0;0;172961,15;252869,29;;2054936,25;7069050,35;0;0;E;724;16
31/12/2023;P3162;1;4054655,71;0;-9299,68;312916,76;34368,17;0;16958,58;3749848,86;0;;;;0;0;0;0;340260,87;;34698,53;2051987,49;0;178383,31;133112,81;0;-131132,69;23227,22;2161076,9;-284036,91;0;-21380,65;-10737,74;0;-273394;0;0;0;1162412,98;;274984,04;128284,56;1309112,46;0;0;272253,08;272253,08;0;46801,04;0;0;0;0;0;46801,04;;608958,78;340260,87;0;0;E;724;16
31/12/2023;R0011;1;0;114987179,89;0;1018357,87;0;-3085265,97;0;110883556,05;177420,14;;;;7580,2;0;322291,22;200075,79;3023572,99;;571803,3;0;64744191,52;204170,81;0;-8752331,96;34775,12;0;55752913,63;0;-1126549,08;0;0;0;-1126549,08;0;0;0;38789116,74;;1686398,44;113078,83;40362436,35;-21,29;0;0;-21,29;380570,4;100082,39;37321,36;0;197819,39;0;602441,32;1318234,86;;18171917,87;2316205,64;0;0;E;724;16
31/12/2023;R0019;1;0;536080288,05;0;42796034,2;0;430160674,28;-706708,33;924151636,46;0;;;;0;0;5599,61;10581073,36;134176407,58;;0;0;858018906,4;15314164,99;0;-23187276,21;-1841768,52;123039,5;821482273,22;0;0;0;0;0;0;0;0;0;136666002,4;;3924504,99;10115696,97;130474810,42;0;0;5221985,87;5221985,87;70249077,37;0;0;0;0;861,54;8472540,88;78722479,79;;22426494,74;123589734,61;0;0;E;724;16
31/12/2023;R0019;2;0;72043371,06;0;594978,01;0;1330694,24;40727,3;72738359,99;0;;;;0;0;6,49;0;1192286,91;;0;0;29713207,93;298292,81;0;21515391,12;-820094,13;0;51750400,37;0;0;0;0;0;0;0;0;0;21277602,69;;0;94037,04;21183565,65;0;0;0;0;117328,94;0;0;0;0;0;0;117328,94;;879351,94;1192280,42;0;0;E;56;16
