TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;MONEDA;delegacion;TipoDec
31/12/2020;C0468;1;164912303,52;119044740,1;-0,39;;;;22052,32;0;0;0;22092,86;30107,65;101,49;0;0;69208,92;40871,02;0;140289,08;2032641,75;4997697,71;;;32668885,16;248204906,28;40,93;0;2032641,75;0;4997697,71;-3083252,18;280873791,44;248204906,28;0;E;724;16
31/12/2021;C0468;4;4975161,7;-736816;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;423834,57;3814511,13;0;0;0;0;0;0;4238345,7;3814511,13;0;E;20;16
31/12/2021;C0468;1;136027102,31;34818826,67;-0,24;;;;0;0;0;0;-0,24;30790,72;80,01;-0,01;0;0;1652070,67;0;1682941,39;7467907,39;6880816,73;;;34913269,56;134836808,45;0;4844697,35;2623210,04;1299046,98;5581769,75;-1095850,97;169750078,01;134836808,45;0;E;724;16
31/12/2016;C0494;1;1956355,82;0;0;;;;0;0;261606,18;0;444798,48;0;0;50489,15;0;0;53116,12;0;103605,27;23714,32;245841,14;;;581095,04;1494327,17;183192,3;0;23714,32;0;245841,14;119066,39;2075422,21;1494327,17;0;E;724;16
31/12/2017;C0494;1;8602525,19;0;0;;;;0;0;0;0;0;0;0;39726,38;0;0;31877,26;0;71603,64;33015,74;37420,34;;;2204634,48;6321882,47;0;0;33015,74;0;37420,34;-76008,24;8526516,95;6321882,47;0;E;724;16
31/12/2018;C0494;1;4030104,82;0;0;;;;0;0;0;0;23024,04;0;0;0;0;17375,61;0;0;17375,61;168653,21;10558,87;;;1100224,38;3093623,21;23024,04;0;168653,21;0;10558,87;163742,77;4193847,59;3093623,21;0;E;724;16
31/12/2019;C0494;1;6175171,09;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;29033,45;2376,08;;;1501459,64;4700368,82;0;0;29033,45;0;2376,08;26657,37;6201828,46;4700368,82;0;E;724;16
31/12/2020;C0494;1;4457002,34;0;0;;;;0;0;0;0;51283,85;0;0;0;0;0;0;0;0;15156,69;15170,15;;;1037708,89;3470563,84;51283,85;0;15156,69;0;15170,15;51270,39;4508272,73;3470563,84;0;E;724;16
31/12/2021;C0494;1;5150974,9;0;0;;;;0;0;0;1621,37;1621,37;0;0;0;0;0;0;0;0;45410,73;37124,59;;;0;3853275;0;0;45410,73;0;37124,59;9907,51;5160882,41;5160882,41;-1307607,41;E;724;16
31/12/2016;C0502;1;93886588,67;230471031,71;0;;;;329737,01;10032321,28;4125141,02;20214945,58;74436644,58;5583395,31;0;9355,01;0;0;34930,75;927925,75;6555606,82;18219956,7;13743836,69;;;116243931,5;280470846,65;39734499,69;4546118,41;13673838,29;0;13743836,69;72357157,77;396714778,15;280470846,65;0;E;724;16
31/12/2016;C0502;2;501595,4;7157693,91;0;;;;0;0;0;0;0;1668,82;0;0;0;0;0;0;1668,82;4827,43;163,54;;;2018468,2;5643816,18;0;0;4827,43;0;163,54;2995,07;7662284,38;5643816,18;0;E;620;16
31/12/2017;C0502;2;727833,29;6837377,57;0;;;;0;0;0;0;0;1202,46;0;0;0;0;0;0;1202,46;24;3657,28;;;1912128,21;5648246,91;0;0;24;0;3657,28;-4835,74;7560375,12;5648246,91;0;E;620;16
31/12/2017;C0502;1;95502474,87;271474847,33;0;;;;913021,26;2704800;75815,36;24579967,94;65664064,43;6826247,34;0;4031,31;23952,36;0;50134,45;3462199,23;10366564,69;912941,67;2851388,29;;;123738870,14;296597505,18;37390459,87;0;912941,67;0;2851388,29;53359053,12;420336375,32;296597505,18;0;E;724;16
31/12/2018;C0502;1;102743419,02;269929643,97;0;;;;306958,03;0;5422059,14;21768277,15;71072347,28;3174261,13;0;3134,03;0;0;283754,58;4545579,29;8006729,03;911887,25;1835585,4;;;123950210,87;310864772,22;43575052,96;0;911887,25;0;1835585,4;62141920,1;434814983,09;310864772,22;0;E;724;16
31/12/2018;C0502;2;-1341734,11;8056545,92;0;;;;0;0;0;0;0;1827,28;0;0;0;0;0;0;1827,28;0;2554,51;;;3699256,7;3011173,32;0;0;0;0;2554,51;-4381,79;6710430,02;3011173,32;0;E;620;16
31/12/2019;C0502;1;114550241,75;276078571,58;0;;;;194297,85;0;646661,11;9961071,58;38181483,52;4027026,18;0;4140,02;0;0;176856,27;140368,63;4348391,1;1147073,65;2600356,9;;;123417400,53;299591221,97;27379452,98;0;1147073,65;0;2600356,9;32379809,17;423008622,5;299591221,97;0;E;724;16
31/12/2019;C0502;2;1434950,94;5377213,07;0;;;;0;0;0;0;0;2242,94;0;0;0;0;0;0;2242,94;0;0;;;1693163,73;5116757,34;0;0;0;0;0;-2242,94;6809921,07;5116757,34;0;E;620;16
31/12/2020;C0502;2;395823,4;6591733,89;0;;;;0;0;0;0;0;3116,61;0;0;0;0;0;0;3116,61;2,07;16,97;;;1735156,18;5249269,6;0;0;2,07;0;16,97;-3131,51;6984425,78;5249269,6;0;E;620;16
31/12/2020;C0502;1;112225657,39;239660866,23;0;;;;149432,21;0;278789,03;456161205,29;519009847,34;4550121,54;0;3197,41;0;20680473,19;110168,86;4455723,44;29799684,44;953070,79;2549098,32;;;244761111,56;594739547,43;62420420,81;0;953070,79;0;2549098,32;487614135,37;839500658,99;594739547,43;0;E;724;16
31/12/2021;C0502;2;12264,45;4304622,97;0;;;;0;0;0;0;0;2252,88;0;0;0;0;0;0;2252,88;0;-0,01;;;1114174,83;3200459,72;0;0;0;0;-0,01;-2252,87;4314634,55;3200459,72;0;E;620;16
31/12/2021;C0502;1;34121895,15;261917272,64;0;;;;129837,85;0;656133,67;18595822,45;38979151,57;6537144,45;0;3096,05;2095,32;1764833,38;295110,58;637172,93;9239452,71;681479,18;222595;;;87147860,16;239089890,67;19597357,6;0;681479,18;0;222595;30198583,04;326237750,83;239089890,67;0;E;724;16
31/12/2016;C0511;1;13069688,48;56196369,91;1095869,93;;;;0;0;0;688762,06;102307289,22;11574788,83;0;26479,59;0;4516000;0;129778,64;16247047,06;28374274,73;33745366,83;;;-3614403,19;153569611,64;100522657,23;0;28374274,73;0;33745366,83;80689150,06;149955208,45;153569611,64;0;E;724;16
31/12/2017;C0511;1;16744175,02;39867550,99;1134030,86;;;;0;9860511,98;0;4795805,83;166613150,01;8765546,93;0;0;0;0;0;756956,71;9522503,64;47929404,83;37362835,16;;;2785250,12;221483691,93;150822801,34;0;47929404,83;0;37362835,16;167657216,04;224268942,05;221483691,93;0;E;724;16
