TRIMESTRE;CLAVE;RAMO;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;MONEDA;delegacion;TipoDec
31/12/2021;C0046;99;2;4989903;0;-10247;2479470;-2130;0;-52401;2550457;0;;;;0;0;0;0;0;250;619880;0;347576;-11754;0;-443643;0;704193;0;0;112248;112248;310511;1560195;1092134;778572;;0;0;0;0;0;13620;0;0;0;0;0;0;13620;942074;0;E;703;16
31/12/2021;C0046;99;4;32165006;0;-51221;12177928;-848686;0;-229099;19316270;0;;;;0;0;0;0;-160663,99;995;6103406;0;3481273;2806718;0;464994;0;4963857;0;0;218643;218643;2893621;6113621;5020647;3986595;;0;0;0;0;0;-274962,99;0;0;0;0;0;0;-274962,99;10262469;-160663,99;E;756;16
31/12/2021;C0046;99;2;129551864;10109051;-896;108691875;-3658501;-33501;2420899;24855243;0;;;;0;0;0;0;-241602,99;1167369;15342062;3124546;16727926;7555313;3313861;156512;0;12451344;0;0;2905200;2905200;18871333;43312821;47162954;15021200;;0;0;0;0;0;-1485934,99;0;0;0;0;0;0;-1485934,99;-3110800;-241602,99;E;528;16
31/12/2021;C0046;99;2;23418908;0;-1074;12798598;-1744668;0;-336037;9210605;0;;;;0;0;0;0;-74,99;1466246;1087024;0;602971;3805768;0;1678105;0;2611716;0;0;4188;4188;1158175;6530354;5346222;2342307;;0;0;0;0;0;55672,99;0;0;0;0;0;0;55672,99;5662892,02;-74,99;E;246;16
31/12/2021;C0046;99;2;15838160;0;15;8205463;-674702;0;322488;6635522;0;;;;0;0;0;0;117,99;56644;1587591;0;1107569;-343919;0;-1540273;0;1676376;0;0;109136;109136;248128;4184308;2756093;1676343;;0;0;0;0;0;284054,99;0;0;0;0;0;0;284054,99;2946374;117,99;E;578;16
31/12/2021;C0046;99;2;137486241;0;95745;73615775;2328538;0;3326138;62968611;0;;;;0;0;0;0;19966,99;4208957;19138785;0;12244756;27984922;0;7892210;0;26986741;0;0;3255641;3255641;16979558;42699536;31480127;28198967;;0;0;0;0;0;197006,99;0;0;0;0;0;0;197006,99;8559179;19966,99;E;250;16
31/12/2021;C0046;99;2;4579887;0;626;2245133;26454;0;7471;2354363;0;;;;0;0;0;0;-187;75068;756977;0;478025;9159;0;-187891;0;476002;0;0;195362;195362;196273;1359733;936197;619809;;0;0;0;0;0;-576;0;0;0;0;0;0;-576;1138647;-187;E;442;16
31/12/2021;C0046;99;2;22550959;0;-84257;11185355;44784;0;-165010;11491141;0;;;;0;0;0;0;4806;4035;1710536;0;775417;968015;0;-389208;0;2292342;0;0;498635;498635;2344976;7127999;4934840;4538135;;0;0;0;0;0;39287;0;0;0;0;0;0;39287;4131583;4806;E;616;16
31/12/2021;C0046;99;2;18298212,16;0;0;8333506,09;-925084,62;0;0;9039621,45;149292,95;;;;78537,81;0;0;0;605750,76;1412698,26;1573103,03;0;755167,72;169439,34;0;0;743084,41;1730459,06;0;0;1692115,03;1692115,03;1439171,91;3958541,9;4261701,21;1136012,6;;0;0;0;0;0;27515,19;43675,07;0;0;0;0;0;71190,26;6428293,52;377920;E;620;16
31/12/2021;C0046;99;2;19459422;0;-2776;9597613;-1078223;0;-283068;9063878;0;;;;0;0;0;0;0;65061;1097301;0;627509;7524916;0;3138801;0;4855907;0;0;68576;68576;2310305;2580174;3974213;916266;;0;0;0;0;0;-12224;0;0;0;0;0;0;-12224;3300414;0;E;372;16
31/12/2021;C0046;99;2;10366396;0;908;5076082;-29473;0;-76893;5338642;0;;;;0;0;0;0;2617;546;2009602;0;1098983;842678;0;-9866;0;1763163;0;0;217750;217750;650393;4313247;2343188;2620452;;0;0;0;0;0;80151;0;0;0;0;0;0;80151;660289;2617;E;348;16
31/12/2021;C0046;99;2;19877555;0;-101306;9714523;-9641;0;369594;9682491;0;;;;0;0;0;0;471;882357;3860922;0;2222789;1875220;0;-245254;0;3758607;0;0;-325622;-325622;3058120;4727758;4787197;2998681;;0;0;0;0;0;28705;0;0;0;0;0;0;28705;4104948;471;E;300;16
31/12/2021;C0046;99;2;126979760;28406;67904;81686967;-7894078;-5802;-876362;38365585;0;;;;0;0;0;0;145,99;125;40131995;85143;29277676;-523197;-52563;-5222288;0;15585990;0;0;49510;49510;15741521;36729892;31897290;20574123;;0;0;0;0;0;265892,99;22547,99;0;0;0;0;0;288440,98;1867792,01;145,99;E;380;16
31/12/2016;C0058;99;1;4318209956,65;18620650,37;5379748,11;406667766,4;-27349405,3;629426,56;13947636,46;3894874973,53;16320451,3;;;;7303415,43;0;111003824,91;102867670,09;378557984,12;21662768,91;2615554291,62;11898978,96;261981105,64;94683747,19;564553,64;-3976186;309945659,1;2774642310,87;74614587,16;1139169,26;926117,19;2065286,45;784356712,48;91952305,79;82809316,61;793499701,66;;87427,59;0;-47160116,76;99885781,74;52813092,57;24620528,59;13635148,34;6418285,13;4945267,89;14624254,27;204218,59;16084838,15;80532540,96;516928206,89;141062622,39;E;724;16
31/12/2017;C0058;99;1;4471719557,46;18284218,51;1629678,7;431860869,63;-62615280,61;212562,07;7824562,79;3989545303,71;12664505,29;;;;7187359,39;0;48369373,19;89724433,27;294811573,39;20683980,64;2725220647,13;12511403,03;272549715,14;76677611,88;375294,36;10421837,96;336038910,94;2867852314,24;68165499,45;2058388,52;-872134,05;1186254,47;799394586,89;95772931,57;101831033,7;793336484,76;;-56424,25;0;-46140952,4;92682632,95;46485256,3;25790992,95;14264986,66;5611658,4;10638905,31;0;1459993,84;20891487,6;78658024,76;449357023,76;136865902,25;E;724;16
31/12/2018;C0058;99;3;17865090,98;108607,42;0;10629967,64;0;0;0;7343730,76;0;;;;0;0;0;0;0;0;12331160,02;32271,47;5521342,94;0;0;0;0;6842088,55;0;0;0;0;3197618,16;322123,6;1127640,84;2392100,92;;0;0;0;0;0;0;0;0;0;0;0;0;0;-1890458,71;0;E;276;16
31/12/2018;C0058;99;3;927164,94;29535,32;0;624750,25;0;0;0;331950,01;0;;;;0;0;0;0;0;0;690552,72;7768,15;178127,56;0;0;0;0;520193,31;0;0;0;0;155620,23;19264,19;50729,36;124155,06;;0;0;0;0;0;0;0;0;0;0;0;0;0;-312398,36;0;E;300;16
31/12/2018;C0058;99;3;3398233,03;48165;0;1971409,86;0;0;0;1474988,17;0;;;;0;0;0;0;0;0;2416609,09;12958,31;807746,29;0;0;0;0;1621821,11;0;0;0;0;614332,75;73009,39;195645,15;491696,99;;0;0;0;0;0;0;0;0;0;0;0;0;0;-638529,93;0;E;380;16
31/12/2018;C0058;99;3;3426414,67;38329,2;0;2329446,86;0;0;0;1135297,01;0;;;;0;0;0;0;0;0;2472385,85;10563,39;1217228,18;0;0;0;0;1265721,06;0;0;0;0;556861,66;53305,16;223818,92;386347,9;;0;0;0;0;0;0;0;0;0;0;0;0;0;-516771,95;0;E;528;16
31/12/2018;C0058;99;3;3094984,45;32014,4;0;1685765,95;0;0;0;1441232,9;0;;;;0;0;0;0;0;0;2108494,24;9600,58;715966,36;0;0;0;0;1402128,46;0;0;0;0;583913,05;62014,28;174059,82;471867,51;;0;0;0;0;0;0;0;0;0;0;0;0;0;-432763,07;0;E;620;16
31/12/2018;C0058;99;3;13764534,33;210079,63;0;8986234,07;0;0;0;4988379,89;0;;;;0;0;0;0;0;0;9988028,22;58595,08;4177667,35;0;0;0;0;5868955,95;0;0;0;0;2290911,12;235222,13;824681,72;1701451,53;;0;0;0;0;0;0;0;0;0;0;0;0;0;-2582027,59;0;E;250;16
