TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;PT72;PT73;PT74;PT75;PT76;PT77;PT78;PT79;PT80;PT81;PT82;PT83;PT84;PT85;PT86;PT87;PT88;moneda;delegacion;TipoDec
31/12/2023;C0437;6549213,86;0;0;0;0;0;0;0;0;0;0;0;7553408,81;7553408,81;0;0;0;2094495,46;0;0;0;0;0;2001783,04;0;62240,93;63946,7;-1705,77;0;0;0;30471,49;0;30471,49;10774648,93;0;51508,58;0;0;51508,58;0;3316820,51;3316820,51;0;11387131,27;11386990,8;0;140,47;3600000;3600000;0;0;1086465,96;238370,85;848095,11;94352,76;0;0;80635,44;13717,32;0;46508046,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0448;1341752,82;0;0;0;0;0;0;0;0;0;0;0;20858,74;20858,74;0;0;0;16409352,67;0;9000000;0;9000000;0;5529372,1;0;1820434,67;1820434,67;0;0;0;0;59545,9;0;59545,9;6755226,67;0;0;0;0;0;0;3178181,75;3045414,32;132767,43;846526,95;0;0;846526,95;5528844,87;3800;0;5525044,87;513710,41;91107,95;422602,46;93770,52;0;0;93770,52;0;0;34688225,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0461;45227848,55;30750248,24;30750248,24;0;0;0;0;0;0;0;0;0;29490510,44;3454677,04;26035833,4;0;0;167409001;0;51063631,67;0;51060990,57;2641,1;30000000;0;84295354,27;75814421,19;8480933,08;387,14;789771,62;0;1259856,3;313266,86;946589,44;0;0;177864,58;142407,4;0;35457,18;0;46175627,68;46078284,92;97342,76;22745735,62;0;0;22745735,62;426641422,26;1264395,19;0;425377027,07;1055197,37;1387,08;1053810,29;11266225,49;0;0;11266225,49;0;999517,07;781939198,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0465;5196522,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6894938,24;0;1447258,77;0;1447258,77;0;0;0;27721,15;27721,15;0;5362950,19;26284;0;30724,13;0;30724,13;0;0;0;0;0;0;0;3389907,7;2493132,89;896774,81;77378,79;0;0;77378,79;8097031,52;0;0;8097031,52;571380,21;243996,15;327384,06;30019,21;0;0;30019,21;0;0;24257177,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0467;95721129,55;0;0;0;0;0;675635798,67;6616650,05;1855395,2;0;667163753,42;0;3346362779,67;119583458,09;3226779321,58;0;0;183327949,34;0;9652247,17;2054458,84;7597788,33;0;8053818,01;31900,87;151106819,6;119149339,68;31957479,92;1668268,19;2287734,28;0;10527161,22;2088381,06;8438780,16;0;0;59776802,18;1793254,76;489515,61;57485753,94;8277,87;15090539,41;7014433,73;8076105,68;41152606,37;5497623,06;2,48;35654980,83;360000;360000;0;0;144867202,98;38092585,56;106774617,42;128625604,53;567011,89;1,01;126650742,71;1407848,92;3430026,21;4694350438,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0467;8213207,49;0;0;0;0;0;0;0;0;0;0;0;47950032,66;0;47950032,66;0;0;13375348,17;0;9241468,86;0;9241468,86;0;0;0;4099822,41;0;4099822,41;34056,49;0;0;0,41;0,41;0;0;0;1529652,33;87681,4;0;1441970,93;0;74038,22;74038,22;0;14298,56;0;0;14298,56;0;0;0;0;321758,93;321758,93;0;852672,55;0;0;851238,55;1434;0;72331008,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;826;16
31/12/2023;C0468;2405634,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49166239,36;0;8152,52;8152,52;0;0;0;0;1583488,28;1620312,52;-36824,24;0,01;0;0;47574598,55;0;47574598,55;0;0;0;0;0;0;0;151737,73;13776,81;137960,92;0;0;0;0;0;0;0;0;0;0;0;1461689,22;0;0;1461689,22;0;0;53185301,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;16
31/12/2023;C0468;141053809,77;0;0;0;0;0;872164746,25;83360,85;0;0;872081385,4;0;6684809577,58;1559962950,5;4784210993,24;0;340635633,84;873265909,87;0;406506954,18;13031954,18;393475000;0;0;0;217870834,45;203226998,55;14643835,9;30731874,95;30190970,35;0;187965275,94;19247371,84;168717904,1;0;0;179868339,97;30160551,85;903849,01;135335205,75;13468733,36;562974170,68;138802065,95;424172104,73;16775000;0;0;16775000;644587807,18;3752673,69;0;640835133,49;184364399,02;246545,06;184117853,96;274882691,91;0;0;274882691,9;0,01;0;10434746452,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0494;25365023,99;0;0;0;0;0;0;0;0;0;0;0;120410321,65;22680697,66;97729623,99;0;0;18229942,51;0;17025093,63;0;17025093,63;0;0;0;949117,45;718211,73;230905,72;6958,07;0;0;248773,36;14,99;248758,37;0;0;746913,88;568181,42;0;178732,46;0;18487074,75;33592,22;18453482,53;10734202,41;0;4690499,96;6043702,45;0;0;0;0;4234862,65;0;4234862,65;1578229,56;0;0;1578229,56;0;0;199786571,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0502;111358381,27;0;0;0;0;0;674269247,37;0;0;0;674269247,37;0;10337797952,32;1488522,28;10336309430,04;0;0;876512104,42;0;121149353,09;60000;121089353,09;0;671784849,79;0;68641070,62;68409142,11;231928,51;4608410,09;2918652,99;0;7409767,84;18734,08;7391033,76;0;76732561,31;149189651,5;847299,08;126114320,14;22228032,28;0;7894326,25;83291,7;7811034,55;8480051,84;0;0;8480051,84;249999972,27;249999972,27;0;0;314006093,37;0;314006093,37;276054009,44;1229014,84;19284841,75;255540152,85;0;0;13082294351,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0511;572183318,66;3555953,95;0;10249822,4;-6693868,45;0;2292436085,9;0;89727339,8;15385932,45;2187322813,65;0;11159880513,43;427687005,82;10625314256,61;0;106879251;193469283,38;0;56087401,67;3742262,49;52345139,18;0;1753108,53;0;117999762,23;115275474,6;2724287,63;3565802,73;8755127,69;0;5308080,53;2341044,96;2967035,57;0;0;9182585,69;744209,97;2472686,71;5965689,01;0;163062609,19;42495147,9;120567461,29;35880753,34;0;0;35880753,34;566143384,43;0;0;566143384,43;541597283,68;857380,81;540739902,87;145853412,51;43924963,96;0;101921989,52;6459,03;0;15683245184,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0516;89069005,26;0;0;0;0;0;0;0;0;0;0;0;517520945,91;169166428,51;348354517,4;0;0;105113431,05;59540867,44;0;0;0;0;7239819;774130,43;30141536,12;30141536,12;0;5186434,99;0;0;2230643,07;1443,3;2229199,77;0;0;23992319,58;12761667,19;0;11230652,39;0;26059033,5;13505402,63;12553630,87;7765165,51;0;0;7765165,51;51387875,11;518133,47;0;50869741,64;9830240,25;4539035,41;5291204,84;25601962,97;0;0;25601962,97;0;0;856339979,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0557;336520050,78;0;0;0;0;0;551139457,67;0;0;16345744,63;534793713,04;0;7964715948,52;173733388,97;7790982559,55;0;0;87570331,75;0;4373037,95;0;4373037,95;0;0;0;71722381,37;71722381,37;0;1913198,78;364773,15;0;9196940,5;7830890,21;1366050,29;0;0;195874650,01;0;152050667,88;43756785,83;67196,3;43298975,55;858786,22;42440189,33;77688392,94;0;0;77688392,94;418260,5;0;0;418260,5;194631785,48;8428995,34;186202790,14;110149410,47;0;753676,39;109338098,36;57635,72;0;9562007263,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0559;58345544,6;8179051,3;0;0;8179051,3;0;860759668,06;62628291,41;34213894,99;0;763917481,66;0;1451214546,83;185791759,76;1265422787,07;0;0;763406997,85;572621672,24;3775,7;0;3775,7;0;2079127,91;2458438,62;24306,99;24306,99;0;374888,54;0;0;185844787,85;16808522,76;169036265,09;106371990,35;11640737,32;25331428,23;32313,76;20390783,7;4865270,21;43060,56;18023023,51;11431990,42;6591033,09;2410613,74;0;0;2410613,74;202438,61;0;0;202438,61;74068731,47;16377636,17;57691095,3;50303102,23;0;9479621,65;40823480,58;0;0;3430257874,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0571;15344643,03;0;0;0;0;0;0;0;0;0;0;0;123329030,44;4099951,2;119229079,24;0;0;67823960,28;0;48673,51;0;48673,51;0;0;4103012,19;42751934,83;42251559,83;500375;19339794,73;0;0;1580545,02;0;1580545,02;0;0;329442816,09;131557841,78;0;184327192,86;13557781,45;1104269,95;1071072,38;33197,57;8610733,1;4026726,36;-1,94;4584008,68;47296303,16;0;0;47296303,16;12641660,94;3135545,15;9506115,79;34760497,26;3842129,44;0;30656221,07;262146,75;0;640353914,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0572;20080517,19;0;0;0;0;0;997008;0;0;997008;0;0;117906990,46;4739462,37;113167528,09;0;0;14520346,43;0;0;0;0;0;0;0;3951896,44;3951896,44;0;3913042,7;4221368,88;0;2434038,41;180399,72;2253638,69;7253761,01;0;27392575,33;13829520,88;0;13563054,45;0;14972252,84;4654169,49;10318083,35;0;0;0;0;3065000,17;0;0;3065000,17;2443089,74;0;2443089,74;12549054,91;0;0;12548717,07;337,84;0;221180596,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0595;177869303,47;0;0;0;0;0;49320466,01;0;0;39915441,37;9405024,64;0;1976147276,92;76117008,11;1900030268,81;0;0;105274979,55;0;4407339,42;51366,51;4355972,91;0;0;0;33889876,78;33889876,78;0;1499452,03;0;0;65478311,32;44597,05;65433714,27;0;4895622,06;4314129,69;0;2380371,32;1933758,37;0;52171615,96;178175,97;51993439,99;0;0;0;0;7411085,37;0;0;7411085,37;35377212,17;560839,28;34816372,89;32468527,5;0;0;32263247,38;205280,12;0;2445250218,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2023;C0601;5258849,27;0;0;0;0;0;8346431,41;12469,07;0;0;8333962,34;0;472646772,51;317660,1;452486985,84;0;19842126,57;1025202,81;0;0;0;0;0;0;0;355281,85;355281,85;0;287392,71;0;0;382528,25;8035,28;374492,97;0;0;1590850,53;0;522978,44;1067872,09;0;1998,52;1998,52;0;4806,9;0;0;4806,9;2000;2000;0;0;11177588,65;0;11177588,65;6105901,47;0;0;6105901,47;0;0;506160402,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
