TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;MONEDA;delegacion;TipoDec
31/12/2019;M0134;0;0;75163445,5;0;23281695,09;30331791,11;559612,67;482943,35;29289235,09;1642625,85;42513,13;0;6211360,38;0;13653459,94;4383934,72;17446,58;9252078,64;0;907007526,89;128305473,48;5407863,63;549731866,09;5739671;0;540301030,61;3691164,48;199764612,68;-967783,08;24765494,09;4297675,16;0;675436,68;3622238,48;0;13376255,98;8816,36;13367439,62;16908524,63;4472174,88;11432120,63;0;1004229,12;0;1016753428,16;284195231,04;191638770,92;191638770,92;0;0;72802852,48;0;9172015,75;63630836,73;0;0;0;0;10197633,42;9562179,74;6205,52;0;19415744,66;27989835,13;0;0;-8574090,47;0;0;303610975,7;1320364403,86;;724;16
31/12/2019;M0134;0;0;2438348,87;0;0;111970,71;7476,41;6288,66;98205,64;0;7770,73;0;0;0;2318607,43;-25784,93;0;2344392,36;0;4459889,62;875894,64;0;1564469,33;41212,18;0;1523257,15;0;2007068,21;7118,7;5338,74;0;0;0;0;0;60307,99;4145,49;56162,5;3055,19;0;0;0;3055,19;0;6961601,67;18009,45;0;0;0;0;0;0;0;0;0;0;0;0;0;18009,45;0;0;166935,28;166935,28;0;0;0;0;0;184944,73;7146546,4;;20;16
31/12/2020;M0134;0;0;3645804,7;0;0;86916,03;5278,6;0;81637,43;0;7770,73;0;0;0;3551117,94;-32493,06;0;3583611;0;3178675,47;867416,35;0;1672125,24;34702,64;0;1637422,6;0;623985,54;9404,5;5743,84;0;0;0;0;0;107920,69;66873,05;41047,64;4242,03;0;0;0;4242,03;0;6936642,89;564548,01;0;0;0;0;0;0;0;0;0;0;0;0;0;564548,01;0;0;121590,47;121590,47;0;0;0;0;0;686138,48;7622781,37;;20;16
31/12/2020;M0134;0;0;60954510,61;0;20588927,38;11016781,01;545054,36;1116781,84;9354944,81;2117375,19;133814,48;0;5160857,78;0;21936754,77;6693181,87;3146571,31;12097001,59;0;980220878,46;131511250,94;4491204,98;593160462,26;5832249,6;0;584031851,55;3296361,11;219936593,81;4083559,02;27037807,45;3718789,18;0;536867,38;3181921,8;0;13427955,57;66873,05;13361082,52;15643541,74;4826660,34;10745325,02;0;71556,38;0;1073965675,56;311395221,89;201836404,34;201836404,34;0;0;82352922,79;0;5669992,05;76682930,74;0;0;0;0;10976628,07;16229266,69;0;0;17750377,32;25809371,08;0;0;-8058993,76;0;0;329145599,21;1403111274,77;;724;16
31/12/2021;M0134;0;0;5080628,96;0;0;117532,39;11791,24;36,64;105704,51;0;33330,83;0;0;0;4929765,74;-3264,96;0;4933030,7;0;3562163,06;978446,25;0;1717167;36339,32;0;1680827,68;0;851984,73;8341,2;6223,88;0;0;0;0;0;102731,3;68505,88;34225,42;0,76;0;0;0;0,76;0;8745524,08;616552,88;0;0;0;0;0;0;0;0;0;0;0;0;0;616552,88;0;0;101123,48;101123,48;0;0;0;0;0;717676,36;9463200,44;;20;16
31/12/2021;M0134;0;0;75982927,21;0;15772162,32;19616323,94;996008,15;462255,45;18158060,34;2427892,17;92721,89;0;4093221,94;0;33980604,95;5533851,45;18438818,55;10007934,95;0;1030295704,83;142605681,49;5050570,64;612880723,4;5754269,15;0;603882941,3;3243512,95;236473386,74;3435373,71;29849968,85;4865900,65;0;470715,44;4395185,21;0;12478447,04;792784,53;11685662,51;13120975,02;5397958,42;7645033,68;0;77982,92;0;1136743954,75;337658517,43;212813032,41;212813032,41;0;0;98610686,8;0;5704471,63;92906215,17;0;0;0;0;10807312,41;15461965,39;34479,58;0;16698667,35;22432442,6;0;0;-5733775,25;0;0;354357184,78;1491101139,53;;724;16
31/12/2016;M0140;0;0;2562979,36;0;949849,08;390571,01;-0,03;3265,16;387305,88;245133,36;8355,58;0;0;0;969070,33;320146,16;0;648924,17;0;25630824,95;12203809,63;0;0;0;0;0;0;13427015,32;0;0;689181,6;0;359317,07;329864,53;0;821079,15;0;821079,15;616579,08;616503,44;0;0;75,64;0;30320644,14;27880750,7;12530000;12530000;0;0;15569470,13;12417700,54;63716,79;3088052,8;0;0;0;0;0;78470,49;297189,92;0;96812,44;96812,45;0;0;0;-0,01;0;27977563,14;58298207,28;;724;16
31/12/2017;M0140;0;0;2840799,75;0;890674,56;356957,98;-0,03;6652,05;350305,96;548251,04;478,51;0;0;0;1044437,66;149734,4;0;894703,26;0;26716724,52;12611428,63;0;0;0;0;0;0;14105295,89;0;0;774160,49;0;404664,09;369496,4;0;917830,14;0;917830,14;579061,09;576883,46;0;0;2177,63;0;31828575,99;28921858,61;12530000;12530000;0;0;15662482,15;12198981,11;81086;3382415,04;0;0;0;0;0;1041107,91;311731,45;0;172416,68;172416,68;0;0;0;0;0;29094275,29;60922851,28;;724;16
31/12/2018;M0140;0;0;2716483,46;0;882673,83;343309,59;-0,03;2200,04;341109,58;273915,5;4859,52;0;0;0;1211725,02;153246,79;0;1058478,23;0;26608442,4;12504007,61;0;0;0;0;0;0;14104434,79;0;0;906133,6;0;453946,37;452187,23;0;1010040,21;0;1010040,21;560428,59;560428,59;0;0;0;0;31801528,26;30393671,57;12800000;12800000;0;0;16310576,11;12544239,89;98676,87;3667659,35;0;0;0;0;0;1585930,64;302835,18;0;-486866,89;-486866,89;0;0;0;0;0;29906804,68;61708332,94;;724;16
31/12/2019;M0140;0;0;2455932,17;0;883119,3;343811,39;0;2438,65;341372,74;235528,33;2112,52;0;0;0;991360,63;150341,69;0;841018,94;0;29672730,99;12662092,18;35232,8;0;0;0;0;0;16975406,01;0;0;641850,17;0;157878,35;483971,82;0;1489825,25;45775,82;1444049,43;570439,92;570439,92;0;0;0;0;34830778,5;30730798,95;13200000;13200000;0;0;17285885,81;13218382,41;116597,77;3950905,63;0;0;0;0;0;546080,32;301167,18;0;460531,99;460531,99;0;0;0;0;0;31191330,94;66022109,44;;724;16
